Name,Jedi,Droid,HumanLike,Wookie,DarkSide,LightSide,BountyHunter,Smuggler,0,Empire,Rebel,Resistance,FirstOrder,Separatist,GalacticRepublic,Ewok,Fluffy,Slimey,LightsaberColor,,Tall,Short,PilotAnnoying,Cute,BandersFav,GotButtWhooped,InsideATauntaun,StillLiving,LostALimb,SpaceBallsCharacter

Admiral Ackbar,n,n,n,n,n,x,n,n,0,n,x,n,n,n,x,n,n,x,n,n,n,x,n,n,n,n,n,n,n,n
Admiral Holdo,n,n,x,n,n,x,n,n,0,n,n,x,n,n,n,n,n,n,n,x,n,x,x,n,n,n,n,n,n,n
Admiral Piett,n,n,x,n,x,n,n,n,0,x,n,n,n,n,x,n,n,n,n,n,n,x,n,n,n,n,n,n,n,x
Ahsoka Tano,x,n,n,n,n,x,n,n,0,n,n,n,n,n,x,n,n,n,w,n,x,x,n,n,n,n,n,x,n,n
BB-8,n,x,n,n,n,x,n,n,0,n,n,x,n,n,n,n,n,n,n,n,x,x,n,x,n,n,n,n,n,n
Biggs Darklighter,n,n,x	n,n,x,n,n,0,n,x,n,n,n,n,n,n,n,n,n,n,x,n,n,n,n,n,n,n,n
Boba Fett,n,n,x,n,n,n,x,n,0,n,n,n,n,n,n,n,n,n,n,n,n,x,n,n,x,n,n,x,n,n
Bossk,n,n,n,n,n,n,x,n,0,n,n,n,n,n,n,n,n,n,n,n,n,x,n,n,n,n,n,n,n,n
C-3PO,n,x,n,n,n,x,n,n,0,n,x,x,n,n,x,n,n,x,n,n,n,n,n,n,n,x,n,x,x,x
Chewbacca,n,n,n,x,n,x,n,x,1,n,x,x,n,n,x,n,x,n,n,x,n,x,n,n,x,n,n,x,n,x
Chirrut Imwe,n,n,x,n,n,x,n,n,0,n,x,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,x,n,n
Count Dooku,x,n,x,n,x,n,n,n,0,n,n,n,n,x,n,n,n,n,r,n,n,x,n,n,n,x,n,n,n,n
Darth Maul,n,n,x,n,x,n,n,n,0,n,n,n,n,x,n,n,n,n,r,n,n,x,n,n,x,n,n,n,n,n
Darth Vader,n,x,x,n,x,n,n,n,0,x,n,n,n,n,n,n,n,n,r,x,n,x,n,n,x,x,n,n,n,x
Dengar,n,n,x,n,n,n,x,n,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Droideka,n,x,n,n,x,n,n,n,0,n,n,n,n,x,n,n,n,n,n,n,n,n,n,n,x,n,n,n,n,n
Emperor Palpatine,n,x,x,n,x,x,n,n,0,x,n,n,n,x,x,n,n,n,r,n,n,n,n,n,x,n,n,x,n,x
